state,name,college_readiness_score,tested_ap,passed_ap,math_score,math_proficient,math_not_proficient,reading_score,reading_proficient,reading_not_proficient
Arizona,Bicentennial Union High School District,N/A,N/A,N/A,2.2,49%,51%,2.8,76%,24%
Arizona,Bisbee Unified District,N/A,N/A,N/A,2.1,42%,58%,2.9,79%,21%
Arizona,Blue Adobe Project,N/A,N/A,N/A,2.6,58%,42%,2.8,79%,21%
Arizona,Blue Ridge Unified District,14.3,18%,13.20%,2.8,74%,26%,3,88%,12%
Arizona,Blueprint Education,N/A,N/A,N/A,1.5,15%,85%,2.4,40%,60%
Arizona,Buckeye Union High School District,7,11%,5.70%,2.6,63%,37%,2.9,82%,18%
Arizona,Camp Verde Unified District,N/A,N/A,N/A,2.5,59%,41%,2.9,87%,13%
Arizona,Camp Verde Unified School District Dba South Verde Technolog,N/A,N/A,N/A,2.7,71%,29%,2.9,85%,15%
Arizona,Canyon Rose Academy Inc.,N/A,N/A,N/A,1.6,22%,78%,2.7,71%,29%
Arizona,Career Development Inc.,N/A,N/A,N/A,1.5,18%,82%,2.4,41%,59%
Arizona,Career Success High School - Mesa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,Career Success Schools,N/A,N/A,N/A,1.6,19%,81%,2.5,55%,45%
Arizona,Carpe Diem Collegiate High School,N/A,N/A,N/A,2.8,67%,33%,2.9,82%,18%
Arizona,Casa Grande Union High School District,12.7,23%,9.40%,2.2,47%,53%,2.8,77%,23%
Arizona,Catalina Foothills Unified District,44.6,49%,43.00%,3.3,88%,12%,3.2,96%,4%
Arizona,Cave Creek Unified District,27.4,40%,23.10%,3.1,84%,16%,3.1,95%,5%
Arizona,Cedar Unified District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,Center For Academic Success Inc.,N/A,N/A,N/A,2.4,62%,38%,2.8,79%,21%
Arizona,Chandler Preparatory Academy,N/A,N/A,N/A,3.6,95%,5%,3.3,100%,0%
Arizona,Chandler Unified District,27.7,36%,24.90%,2.7,67%,33%,2.9,82%,18%
Arizona,Chinle Unified District,5.7,23%,0.00%,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,Chino Valley Unified District,N/A,N/A,N/A,2.3,51%,49%,2.9,83%,17%
